	title	sentences	label	language	index
0	Law enforcement and disruption of offline and online activities : a review of comptemporary challenges	The digital world represents a new frontier for law enforcement operations. The virtual nature of online communications creates challenges regarding legal frameworks and sovereignty that are exacerbated by the inherent context of the digital world, the current state of policing expertise and resources and the detection and reporting rates of cybercrimes. This book chapter presents an informed review of the current state of ‘what works’ in policing both offline and online, providing at each step the context needed to understand how new technologies impact police operations. Our conclusion suggests that new models of policing are indeed needed to effectively police the digital world and that cooperation through nodal governance could improve the ability of police agencies to regulate cyberoffenders.	What works , Police operations , Technology , Cybercrime , Law enforcement	en	25000.0
1	Differential language network functional connectivity alterations in Alzheimer's disease and the semantic variant of primary progressive aphasia	Patients with Alzheimer's disease (AD) and semantic variant primary progressive aphasia (svPPA) can present with similar language impairments, mainly in naming. It has been hypothesized that these deficits are associated with different brain mechanisms in each disease, but no previous study has used a network approach to explore this hypothesis. The aim of this study was to compare resting-state functional magnetic resonance imaging (rs-fMRI) language network in AD, svPPA patients, and cognitively unimpaired elderly adults (CTRL). Therefore, 10 AD patients, 12 svPPA patients and 11 CTRL underwent rs-fMRI. Seed-based functional connectivity analyses were conducted using regions of interest in the left anterior temporal lobe (ATL), left posterior middle temporal gyrus (pMTG) and left inferior frontal gyrus (IFG), applying a voxelwise correction for gray matter volume. In AD patients, the left pMTG was the only key language region showing functional connectivity changes, mainly a reduced interhemispheric functional connectivity with its right-hemisphere counterpart, in comparison to CTRL. In svPPA patients, we observed a functional isolation of the left ATL, both decreases and increases in functional connectivity from the left pMTG and increased functional connectivity form the left IFG. Post-hoc analyses showed that naming impairments were overall associated with the functional disconnections observed across the language network. In conclusion, AD and svPPA patients present distinct language network functional connectivity profiles. In AD patients, functional connectivity changes were restricted to the left pMTG and were overall less severe in comparison to svPPA patients. Results in svPPA patients suggest decreased functional connectivity along the ventral language pathway and increased functional connectivity along the dorsal language pathway. Finally, the observed connectivity patterns are overall consistent with previously reported structural connectivity and language profiles in these patients.	Alzheimer's disease , Semantic variant primary progressive aphasia , Language network , Resting-state functional magnetic resonance imaging	en	24999.0
2	Augustine’s ‘Si comprehendis, non est Deus’ : to what extent is God incomprehensible?	Can God be positively understood? The very respectable tradition of negative theology would claim that this is impossible and that God could only be understood by saying what God is not. There is a saying of Augustine that is often quoted in this context, “If you understand it is not God.” What did Augustine mean by this? Does this dictum not entail a contradiction in that we all understand the meaning of the word God? Did God not also reveal himself in Scripture and creation, thus opening himself to understanding? This study sorts out the meaning and context of this saying in Augustine’s Sermon 117 and argues that an understanding of God and indeed a “touching” of God are possible for Augustine. It also argues against the obsessive, if widespread attempt of some to debase humankind’s capability of understanding.	Augustine , Sermon 117 , God , Comprehensibility , Understanding , Si enim comprehendis non est Deus , Mystical experience , Vision of God , Spiritual sense , Gospel of John	en	24998.0
3	Altered gray matter structural covariance networks in early stages of Alzheimer's disease	Clinical symptoms observed in Alzheimer's disease (AD) patients may reflect variations within specific large-scale brain networks, modeling AD as a disconnection syndrome. The present magnetic resonance imaging study aims to compare the organization of gray matter structural covariance networks between 109 cognitively unimpaired controls (CTRL) and 109 AD patients positive to beta-amyloid at the early stages of the disease, using voxel-based morphometry. The default-mode network (DMN; medial temporal lobe subsystem) was less extended in AD patients in comparison with CTRL, with a significant decrease in the structural association between the entorhinal cortex and the medial prefrontal and the dorsolateral prefrontal cortices. The DMN (midline core subsystem) was also less extended in AD patients. Trends toward increased structural association were observed in the salience and executive control networks. The observed changes suggest that early disruptions in structural association between heteromodal association cortices and the entorhinal cortex could contribute to an isolation of the hippocampal formation, potentially giving rise to the clinical hallmark of AD, progressive memory impairment. It also provides critical support to the hypothesis that the reduced connectivity within the DMN in early AD is accompanied by an enhancement of connectivity in the salience and executive control networks.	Anatomical structural covariance , Default-mode network , Dementia , Magnetic resonance imaging , Salience network	en	24996.0
4	Diagnosis and surgical management of cholecystolithiasis in two adult inland beardeddragons (pogona vitticeps)	Two male inland bearded dragons (Pogona vitticeps) of 5 and 6 yr of age were presented for anorexia with and without lethargy, respectively. In both cases, a firm, spherical, and mobile mass, measuring 2 cm in diameter, was palpated in the cranio-medial coelom. Radiographs were unremarkable. Ultrasonographic evaluation was highly suggestive of cholecystolithiasis. Coeliotomy confirmed the presence of a markedly enlarged gallbladder containing a cholecystolith in both cases, and cholecystectomies were performed. Both dragons resumed eating after 1–7 days and were doing well 3–6 months postoperatively. The gallbladder wall was unremarkable on histology, and the choleliths were composed of protein and calcium carbonate crystals. Cholecystolithiasis in bearded dragons has been the subject of very few case reports, probably due to its low occurrence. The lack of available data on the diagnosis and management may have led to this condition being underdiagnosed in this species. Ultrasonography was essential to the clinical diagnosis of cholecystolithiasis in our two cases and should be recommended as part of the diagnostic approach of bearded dragons with cranio-medial coelomic masses.	Pogona vitticeps , Cholecystectomy , Gallstone , Lizard , Nutrition , Surgery	en	24995.0
5	The role of the hippocampus in the semantic variant of primary progressive aphasia : a resting‐state fcMRI study	The goal of the study was to determine whether the semantic variant of primary progressive aphasia (svPPA) affects the intrinsic connectivity network anchored to left and right anterior hippocampus, but spares the posterior hippocampus. A resting‐state functional connectivity MRI (rs‐fcMRI) study was conducted in a group of patients with svPPA and in controls, using a seed‐to‐voxel approach. In comparison to controls, massively reduced connectivity was found in the anterior hippocampus, mainly the left one, for svPPA patients but not in the left or right posterior hippocampus. In svPPA, the anterior hippocampus showed reduced functional connectivity with regions implicated in the semantic memory network. Significant correlation was also found between the functional connectivity strength of the left anterior hippocampus and the ventromedial cortex, and performance in semantic tasks. These findings indicate that the functional disconnection of the anterior hippocampus may be a promising in vivo biomarker of svPPA and illustrate the role of this hippocampal subregion in the semantic memory system.	Semantic variant of primary progressive aphasia , Resting‐state functional connectivity , CONN toolbox , Semantic memory , Hippocampus	en	24990.0
6	Word-finding in confrontation naming and picture descriptions produced by individuals with early post-stroke aphasia	Objective The present study aims to assess the relationship between quantitative measures of connected speech production and performance in confrontation naming in early post-stroke aphasia (8-14 days post-stroke). Method: We collected connected speech samples elicited by a picture description task and administered a confrontation naming task to 20 individuals with early post-stroke aphasia and 20 healthy controls. Transcriptions were made in compliance with the CHAT format guidelines. Several micro- (i.e. duration, total number of words, words per minute, mean length of utterances, ratio of open- to closed-class words and noun-to-verb ratio, VOC-D, repetitions, self-corrections, and phonological and semantic errors) and macrolinguistic (i.e. informativeness and efficiency) measures were extracted. Results: We provide evidence for the presence of impairments in an array of micro- and macrolinguistic measures of speech in individuals with early post-stroke aphasia. We show that in the patient group, confrontation naming abilities most strongly relate to informativeness in a picture description task. Conclusion: Our findings contribute to a better understanding of the relationship between performance in confrontation naming and in connected speech production in the first days after stroke onset and also suggest that discourse analysis may provide unique, possibly more complex information.	Early post-stroke aphasia , Word-finding , Confrontation naming , Connected speech , Picture description	en	24988.0
7	"Rereading the decline of the illustrated song : three
crisis discourses in moving picture world, 1908"	Historians have well documented the decline of illustrated songs in nickelodeons in the United States from 1909 to 1913. In this article, a close examination of the 1907 and 1908 issues of Moving Picture World shows that several crises occurred before 1909 that help us understand this decline. Here I examine three main crises: the structural crisis of free music, the economic and aesthetic crisis of piracy, and the legal dispute over exclusive illustration rights.	Illustrated song , Lantern slides , Lantern industry , Magic lantern , Moving Picture World , Music industry , Piracy	en	24987.0
8	Posterior cortical atrophy : impact on daily living activities and exploration of a cognitive rehabilitation approach	Posterior cortical atrophy (PCA) is a neurodegenerative disease affecting the posterior region of the brain. Little is known about both the impact of PCA on functioning and how to support patients on a daily basis. The purpose of this study was to describe the functional profile of DD, a woman diagnosed with PCA, as well as to explore a pilot cognitive rehabilitation program designed to optimize functioning in daily living. The ADL Profile was used to assess the daily tasks that DD chose to undertake. Four operations, i.e. formulate a goal, plan, carry out and verify goal attainment, were scored for each task. Difficulties were observed during the execution of all tasks, as she struggled to find items or showed unsafe behaviors. Impairments were also seen in formulating a goal and planning, especially for less routine tasks. DD identified two tasks to be addressed in rehabilitation: setting the table and dealing cards. Learning was optimized using errorless learning and compensatory aids when setting the table, while dealing cards received no intervention. Only setting the table improved significantly with time. Further studies should be conducted to portray a wider functional profile of people living with PCA and develop effective rehabilitation programs.	Behavioral sciences , Allied health , Health conditions	en	24986.0
9	"Evidence of a relation between hippocampal volume,
white matter hyperintensities, and cognition in subjective
cognitive decline and mild cognitive impairment"	Objective: The concepts of mild cognitive impairment (MCI) and subjective cognitive decline (SCD) have been proposed to identify individuals in the early stages of Alzheimer’s disease (AD), or other neurodegenerative diseases. One approach to validate these concepts is to investigate the relationship between pathological brain markers and cognition in those individuals. Method: We included 126 participants from the Consortium for the Early Identification of Alzheimer’s disease-Quebec (CIMA-Q) cohort (67 SCD, 29 MCI, and 30 cognitively healthy controls [CH]). All participants underwent a complete cognitive assessment and structural magnetic resonance imaging. Group comparisons were done using cognitive data, and then correlated with hippocampal volumes and white matter hyperintensities (WMHs). Results: Significant differences were found between participants with MCI and CH on episodic and executive tasks, but no differences were found when comparing SCD and CH. Scores on episodic memory tests correlated with hippocampal volumes in both MCI and SCD, whereas performance on executive tests correlated with WMH in all of our groups. Discussion: As expected, the SCD group was shown to be cognitively healthy on tasks where MCI participants showed impairment. However, SCD’s hippocampal volume related to episodic memory performances, and WMH to executive functions. Thus, SCD represents a valid research concept and should be used, alongside MCI, to better understand the preclinical/prodromal phase of AD.	Alzheimer’s disease , Biomarkers , Neuroimaging , Neuropsychology	en	24985.0
