	title	sentences	label	language	index	checkSent	checkLabs
4156	Éthique des affaires et conformité : de la gestion des risques à une culture d’entreprise	On a theoretical level, the concern for business ethics and compliance is not new, since it dates back to the middle of the 20th century. However, it was following the financial scandals that shook the financial markets in the early 2000s that these concepts became essential in the context of corporate governance. Indeed, these scandals have highlighted existing corporate governance vulnerabilities and gaps that have had a negative impact on the effectiveness of the internal control and risk management mechanisms adopted by executives and directors. In response to these weaknesses, the development of ethics and compliance programs illustrates the growing importance given not only to compliance and risk management, but also to ethical values in corporate strategy. Still, beyond regulatory measures, the implementation and success of these programs require an understanding of organizational behavior and human management. Moreover, the implementation of these programs requires that the company has an appropriate corporate culture. From this perspective, the establishment of a culture of ethics and compliance within firms is essential.	Compliance , Business ethics , Risk management , Corporate governance , Corporate culture , Code of ethics	en	22777	Y	PP , PP , PP , PP , PP , Y , 
11422	Le maintien de la stabilité génomique du plastide : un petit génome d’une grande importance	Chez les plantes, le génome plastidique est continuellement exposé à divers stress mutagènes, tels l’oxydation des bases et le blocage des fourches de réplication. Étonnamment, malgré ces menaces, le génome du plastide est reconnu pour être très stable, sa stabilité dépassant même celle du génome nucléaire. Néanmoins, les mécanismes de réparation de l’ADN et du maintien de la stabilité du génome plastidique sont encore peu connus. Afin de mieux comprendre ces processus, nous avons développé une approche, basée sur l’emploi de la ciprofloxacine, qui nous permet d’induire des bris d’ADN double-brins (DSBs) spécifiquement dans le génome des organelles. En criblant, à l’aide de ce composé, une collection de mutants d’Arabidopsis thaliana déficients pour des protéines du nucléoïde du plastide, nous avons identifié 16 gènes vraisemblablement impliqués dans le maintien de la stabilité génomique de cette organelle. Parmi ces gènes, ceux de la famille Whirly jouent un rôle primordial dans la protection du génome plastidique face aux réarrangements dépendants de séquences de microhomologie. Deux autres familles de gènes codant pour des protéines plastidiques, soit celle des polymérases de types-I et celle des recombinases, semblent davantage impliquées dans les mécanismes conservateurs de réparation des DSBs. Les relations épistatiques entre ces gènes et ceux des Whirly ont permis de définir les bases moléculaires des mécanismes de la réparation dépendante de microhomologies (MHMR) dans le plastide. Nous proposons également que ce type de mécanismes servirait en quelque sorte de roue de secours pour les mécanismes conservateurs de réparation. Finalement, un criblage non-biaisé, utilisant une collection de plus de 50,000 lignées mutantes d’Arabidopsis, a été réalisé. Ce criblage a permis d’établir un lien entre la stabilité génomique et le métabolisme des espèces réactives oxygénées (ROS). En effet, la plupart des gènes identifiés lors de ce criblage sont impliqués dans la photosynthèse et la détoxification des ROS. Globalement, notre étude a permis d’élargir notre compréhension des mécanismes du maintien de la stabilité génomique dans le plastide et de mieux comprendre l’importance de ces processus.	Biologie des plantes , Plastide , Génome , Réarrangement génomique , Réparation de l'ADN , Stabilité génomique , Bris d'ADN double-brin , Séquençage nouvelle-génération , Plastid	fr	13030	Y	Y , PP , PP , Y , Y , PP , Y , Y , PP , 
20845	La démocratie à l’épreuve du projet : les effets d’un processus de planification concertée à Porto Alegre	Il est très commun d’entendre dans les discussions sur l’urbanisme que la participation du public est nécessaire, mais la manière de faire participer reste encore sujette à énormément d’expérimentation et d’incertitudes. Cette étude s’intéresse au design institutionnel des processus de participation en urbanisme, sous l’angle de leurs effets de démocratisation. L’étude cherchera à identifier les aspects déterminants des processus de participation en urbanisme afin d’offrir, à ceux qui les conçoivent, un éclairage sur les implications des choix qu’ils effectuent. L’analyse se construira à partir de l’étude du fonctionnement concret d’une opération de planification concertée à Porto Alegre, dans le secteur Lomba do Pinheiro. Elle s’appuiera sur un découpage des modalités du processus élaboré à partir d’une revue des ouvrages techniques sur la participation en aménagement. Après avoir décrit la culture de la participation et de planification propre à Porto Alegre et comment celle-ci s’est construite, l’analyse décrira, à partir d’observations sur l’évolution du processus et de ses résultats, les effets du processus en termes d’impact sur l’espace bâti, de transformation des relations sociales et de possibilité de faire apparaître des conflits. Les conclusions feront voir l’importance des modalités plus informelles du travail des organisateurs, de même que la nécessité de mettre le projet au centre du processus afin d’établir un terrain commun. Le rôle crucial de la sélection des participants sera souligné. De fortes réserves seront exprimées quant à la pertinence de la transformation des relations sociales comme objectif pour les processus de planification concertée.	Participation publique en urbanisme , Planification concertée , Design institutionnel , Porto Alegre , Porto Alegre , Lomba do Pinheiro , Lomba do Pinheiro	fr	3149	Y	Y , PP , PP , PP , PP , PP , PP , 
15875	La paix adjar	Between 1989 and 1994, two civil conflicts occurred in Georgia together with major political violence. South Ossetia and Abkhazia, two of the three regions with autonomous status within Soviet Georgia, are the scene of these conflicts. Clashes are otherwise avoided in the case of Adjaria, the third region with an autonomous status. The reasons of this relative adjar peace are not obvious at first glance, especially when considering the chaotic situation in which Georgia is at the time of the USSR collapse.  It seems appropriate then to further address the Georgian region of Adjaria, a region that certainly has experienced strong tensions with the newly independent Georgian state, although without turning into an open conflict. Because of the similarity between Abkhazia and Adjaria, the geopolitical arguments, or those concerning institutional structures, can only provide a partial explanation. It is rather an argument based on identity and putting forward relations between groups that appears to be determinant to explain the absence of conflict in Adjaria.	Complexe mythes-symboles , Institutions , Civil war , Ethnic group , Identity affiliation , Myth-symbol complex , Geopolitics , Institutions , Centre-periphery relation	en	9220	Y	N , Y , Y , Y , Y , Y , Y , Y , Y , 
8037	Profils latents d'usage de substances psychotropes chez les consommateurs de cannabis à l'adolescence : les problèmes les plus fréquents par profil et les profils les plus représentés par problème	Cannabis is the most widely used illicit substance among adolescents worldwide. We know that cannabis misuse is likely to cause a variety of effects at physical, psychological, social and economic levels. However, consumers are a heterogeneous group and not all will experience significant problems associated with such use. It is therefore important to identify high-risk users and to specify the nature of these problems in order to intervene effectively with this clientele. Yet, although the scientific literature raises the idea that certain types of consumers are at higher risk, the current state of knowledge reveals little empirical information that would distinguish adolescents with higher risk profiles. To this end, the typologies available today are generally limited to theoretical or clinical studies, refer to specific problems, or are based on specific consumption indicators such as frequency of use. Furthermore, no study has yet been able to reveal the types of problems associated specifically with certain consumer profiles or to specify which profiles are more prone to various consequences. The present study is based on a latent class consumption model developed from several consumer characteristics found in the study by Fallu, Briere and Janosz (2014). They were compared with several predictors and problems associated with the consumption. The sample comes from within the context of evaluation of the New Approaches New Solutions (NANS) dropout prevention program, and consists of 1618 students who used cannabis in 10th grade. The subjects were annually evaluated from the 7th grade until the 11th. This study examines which attributed and non-attributed problems are most common for each class. It also examines which classes are most frequently assigned to different attributed and non-attributed problems. Finally, it compares the results obtained for the attributed and non-attributed problems. The analytical strategy used was to conduct descriptive analysis, chi-square analysis and univariate analysis of variance (ANOVA), sometimes followed by post-hoc tests when relevant. The results show that the class can predict the occurrence of various problems that young people face, that some classes are more represented for some problems, and that teenagers with heavier profiles are at risk of underestimating certain problems associated with their consumption. One of the main findings regarding the two early classes. It seems that early-moderate use students have a more internalized problems profile and those with early-heavy and polydrug use, a more externalized problems profile. Finally, the implications of these results are discussed.	Cannabis use , Substance use , Classes , Adolescents , Substance-related problems	en	19391	Y	Y , Y , PP , PP , Y , 
2760	Passer outre la barrière culturelle : comment les Britanniques se renseignent sur les populations du Canada et de l’Inde, 1757-1774	Dans ce mémoire, nous comparons l’expérience des Britanniques dans deux territoires qui intègrent l’empire britannique après la guerre de Sept Ans. Nous proposons une comparaison de deux régions du globe aux traits contrastés, le Canada et le Bengale, en posant la question : comment les Britanniques se renseignent-ils sur les populations de ces territoires récemment acquis? Notre étude s’inscrit dans plusieurs courants historiographiques qui proposent une relecture de l’histoire de la Grande-Bretagne et de ses colonies, ce qui est le sujet de notre premier chapitre. Dans le second, nous explorons l’après-conquête au Canada. Après avoir mené à bien leur conquête (en 1759-60), les Britanniques en viennent à vouloir administrer les populations qui y habitent. Pour cela, le gouvernement britannique implante un nouveau régime politique jugé adapté aux conditions canadiennes, sans s’encombrer d’une assemblée. Dans la vallée laurentienne, les administrateurs coloniaux doivent toutefois composer avec une population majoritairement d’origine française de confession catholique, ce qui les a menés à modifier le régime dix ans plus tard. Dans le troisième chapitre, nous nous intéressons à la présence britannique au Bengale après la bataille de Plassey de 1757. Dans cette région, c’est par l’entremise de l’East India Company (EIC) que les Britanniques acquièrent une influence sur les pouvoirs locaux, ce qui leur permet d’administrer par l’intermédiaire des gouverneurs de l’Empire moghol (les nababs). Cependant, les différences culturelles étaient bien plus importantes qu’avec la population canadienne d’origine européenne. La population de l’Inde du nord de l’époque est majoritairement de confession hindoue ou musulmane, et emploie le perse comme langue administrative. Grâce à notre lecture de la correspondance officielle, entre les administrateurs coloniaux et le gouvernement métropolitain pour le Canada, et entre les agents de la compagnie et ses directeurs pour le Bengale, nous affirmons que dans les deux situations, les Britanniques tentent de se renseigner. Cependant, d’importantes différences de nature institutionnelle et culturelle singularisent les types d’information recherchés ainsi que les démarches de collecte de l’information. Les résultats de nos recherches convergent finalement en un point : la quête d’information passe par toute une gamme d’intermédiaires locaux. Dans le dernier chapitre, après avoir exploré les « ordres informationnels » mis en œuvre ou adaptés par les Britanniques dans les deux contextes coloniaux, l’étude s’intéresse à l’information coloniale telle qu’elle est reçue et mise en forme en métropole. À cette fin, les efforts des officiels et parlementaires pour se renseigner sur les conditions coloniales lors de l’ébauche de deux lois, l’Acte de Québec (1774) et le Regulating Act (1773) sont mis en lumière grâce à une lecture des débats parlementaires. Finalement, pour s’informer sur le Canada, les membres du gouvernement britannique misent beaucoup sur l’aide des administrateurs coloniaux ayant séjourné dans la colonie, alors que sur l’Inde ils s’appuient davantage sur une source documentaire, soit les livres de l’EIC, révélant ainsi un autre contraste entre les deux situations à l’étude.	Empire britannique , Canada , Inde , Bengale , circulation de l'information , information coloniale , colonisation , India , Bengal , Information	fr	24232	Y	PP , PP , PP , PP , Y , PP , Y , PP , PP , PP , 
11350	La rétroaction corrective écrite en francisation au Québec : les techniques, les types d’erreurs et la compétence des apprenants à l’écrit	Corrective feedback (CF) is defined as the teacher’s reaction to the learner’s production to indicate the presence of an error (Lightbown et Spada, 2006). Researchers increasingly recognize the importance of written corrective feedback (Ferris, 2006). The research on written CF is largely focused on the evaluation of various techniques of CF without previously understanding how teachers correct texts and without taking into consideration the extent to which their students are capable of using this CF to revise their written productions. This study sets out to describe which corrective feedback techniques adult French as a second language teachers use and how students incorporate this corrective feedback in their revision process. Moreover, it aims to verify if teachers and students’ practices vary according to error type (lexical, syntactic and morphological), CF technique (direct, indirect, or combined feedback) and student proficiency level (weak or strong). Three adult French as a second language classes took part in this study: 3 teachers and their respective 24 students (12 deemed strong and 12 weak). Student wrote a text which was then corrected by the teachers according to their regular CF approach. Afterwards, students rewrote their text incorporating their teacher’s corrective feedback. Interviews were conducted with the 3 teachers and their 24 students. Results indicate the overall effectiveness of written corrective feedback in second language learning. This efficacy varies depending on the CF technique used, error type and learner proficiency level. This study demonstrates that these three variables indeed play an important role and that teachers should vary their corrective feedback when reacting to their students’ written productions.	correction , corrective feedback , error , grammar , proficiency level , revision , second language , writing	en	13111	Y	Y , PP , PP , Y , PP , PP , PP , Y , 
997	L’instrumentalisation des opéras de Giacomo Puccini par le régime fasciste italien : le cas de Turandot	This thesis explores the political appropriation of composer Giacomo Puccini (1858-1924) and his operas during the fascist period in Italy (1922-1945). It highlights the dichotomy created by the regime’s insistence on both tradition and modernity in its cultural propaganda, as mirrored in the reinterpretation of the myth surrounding Puccini after his death in 1924—particularly in the political use of Turandot after the opera’s 1926 premiere.  Based on a detailed study of the Italian press of the time and of cultural magazines controlled by the regime, this research analyzes the manipulation of the discourse surrounding Puccini’s image in fascist Italy. Party members exploited Puccini’s myth by insisting on his status as a national Italian composer, his image as a man of the people, and his musical genius, considered as both universal and quintessentially Italian. Through this rhetoric, Puccini became a standard-bearer of fascist ideology, praised both as a composer of the great Italian opera tradition and as a highly modern creator.  Ultimately, the aim of this thesis is to understand how Puccini was subjected to an ideological appropriation that legitimized fascist authority by fostering social consensus and establishing a strong Italian collective identity. Puccini’s case exemplifies the effects of a totalitarian regime’s rhetoric and cultural mechanisms on the musical life of a nation.	Puccini , Turandot , fascism , opera , nationalism , myth , exoticism , Italy , propaganda	en	25687	Y	PP , PP , Y , PP , Y , PP , Y , PP , PP , 
4328	El carácter cínico en Armando Ramírez, Guillermo Fadanelli y Rocío Boliver : una exploración de la escritura, el cuerpo y la sexualidad	Ce projet de recherche explore l’univers narratif de trois auteurs mexicains : Armando Ramírez, Guillermo Fadanelli et Rocío Boliver. En apparence dissemblables entre eux, leurs œuvres partagent une qualité que je propose ici d’identifier de « cynique ». Le cynisme, en tant qu’approche théorique, ouvre des possibilités interprétatives pour les manifestations artistiques, culturelles et politiques dans lesquelles est évident une friction avec les systèmes de valeurs dominantes. À travers différents langages (le roman, le conte, le récit et la performance), l’univers discursif de ces auteurs exprime un malaise envers le monde, réfléchit sur les conflits existentiels du sujet social mexicain et s’approprie de l’écriture, du corps et de la sexualité comme matière de dénonciation pour exhiber les dispositifs politiques avec lesquels vont être façonnées les catégories sociales ainsi que les canons et normes qui vont régler les codes éthiques et esthétiques de l’environnement culturel. En même temps, dans ces productions, le corps et la sexualité émergent comme une irruption et déplacement des discours en amenant l’exercice plein du langage corporel et écrit au bout de l’abjection. Dans le cas d’Armando Ramírez, le caractère cynique se construit à partir de la violence du langage et de l’attaque sexuelle pour dénoncer, depuis la voix du secteur dominé, le conflit historique des classes sociales. En ce qui concerne Guillermo Fadanelli, le cynisme va s’exprimer à partir de la destruction des grands récits qui donnent un sens linéal à l’existence. L’auteur profane l’écriture, les genres littéraires, la famille, la figure maternelle et les tabous sexuels. De son côté, l’œuvre de Rocío Boliver devient cynique lorsqu’elle conteste l’absence d’une représentation positive de la sexualité et de la vieillesse féminine. Cet artiste fait appel à la non-identification avec la religion catholique et les mécanismes de capitalisation du corps. Toutes ces raisons nous permettent de situer ces trois auteurs dans une tradition cynique pas seulement occidentale, mais notamment mexicaine, car cette recherche reconnait aussi la présence historique du cynisme critique dans la production culturelle du pays et dans la construction des identités nationales.	Cynisme , Abjection , Performance , Corps , Littérature mexicaine , Armando Ramírez , Guillermo Fadanelli , Rocío Boliver , Philosophie et littérature , Violence	fr	22638	Y	PP , PP , PP , PP , Y , PP , PP , PP , Y , PP , 
9805	Intimité et sensations dans les films d'animation en volume de Girlin Bassovskaja	Peu satisfaite des concepts généralement mentionnés lorsqu’il s’agit d’écrire sur les films réalisés en stop-motion, je propose d’analyser un corpus de quatre films réalisés par un duo estonien peu connu, les réalisatrices Jelena Girlin et Mari-Liis Bassovskaja, en ancrant mon discours dans une recherche plus large sur l’intimité et la sensorialité en art. J’effleure, par l’entremise d’une revue de littérature, le paradoxe d’animer l’inanimé et l’idée du umheimlich freudien, prégnants dans les écrits substantiels autour du cinéma d’animation en volume. Après avoir démontré que l’œuvre de Girlin Bassovskaja s’incrit dans le domaine de l’intime, j’approfondis l’analyse en m’appuyant sur les théories de la visualité haptique appliquée aux films. Je découvre le corpus à la lumière de ces théories, et évoque l’idée du regard caressant du spectateur vers le film, mais aussi de sa réversibilité. De plus, en tant que réalisatrice-animatrice de court-métrages d’animation, les théories susmentionnées outillent ma pensée afin de décrire ma volonté quasi obsessionnelle de rendre l’intimité tangible par une animation sensuelle en pâte à modeler sur verre.	animation , haptique , intimité , marionnette , anima , peau	fr	16139	Y	PP , PP , PP , Y , PP , Y , 
